product-id,base-url,date,clouds
LC08_L1TP_231089_20180311_20180320_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20180311_20180320_01_T1,2018-03-11,21.8
LC08_L1TP_231089_20180327_20180404_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20180327_20180404_01_T1,2018-03-27,66.9
LC08_L1TP_231089_20180412_20180417_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20180412_20180417_01_T1,2018-04-12,0.26
LC08_L1TP_231089_20180514_20180604_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20180514_20180604_01_T1,2018-05-14,66.12
LC08_L1TP_231089_20180701_20180716_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20180701_20180716_01_T1,2018-07-01,37.08
LC08_L1TP_231089_20180802_20180814_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20180802_20180814_01_T1,2018-08-02,10.18
LC08_L1TP_231089_20180818_20180829_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20180818_20180829_01_T1,2018-08-18,13.88
LC08_L1TP_231089_20180903_20180912_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20180903_20180912_01_T1,2018-09-03,21.8
LC08_L1TP_231089_20180919_20180928_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20180919_20180928_01_T1,2018-09-19,35.74
LC08_L1TP_231089_20181005_20181010_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20181005_20181010_01_T1,2018-10-05,1.52
LC08_L1TP_231089_20181021_20181031_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20181021_20181031_01_T1,2018-10-21,43.28
LC08_L1TP_231089_20181106_20181115_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20181106_20181115_01_T1,2018-11-06,1.19
LC08_L1TP_231089_20181122_20181129_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20181122_20181129_01_T1,2018-11-22,1.69
LC08_L1TP_231089_20181208_20181226_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20181208_20181226_01_T1,2018-12-08,35.05
LC08_L1TP_231089_20181224_20190129_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20181224_20190129_01_T1,2018-12-24,0.13
LC08_L1TP_231089_20190109_20190131_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20190109_20190131_01_T1,2019-01-09,60.51
LC08_L1TP_231089_20190125_20190206_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20190125_20190206_01_T1,2019-01-25,9.59
LC08_L1TP_231089_20190226_20190309_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20190226_20190309_01_T1,2019-02-26,12.24
